Metadata_JCP2022,d_slope,p_slope_std,p_orth_std,t_orth,Count_Cells_avg,Metadata_InChIKey,Metadata_InChI,Metadata_JCP2022_1
JCP2022_087685,0.7986582443135904,0.0172652256090837,0.314587181071696,0.6193699644817174,203.6458333333333,TZCROVPUSYYYKO-UHFFFAOYSA-N,"InChI=1S/C22H22N4O3S/c1-2-15-8-10-17(11-9-15)26-13-16(12-20(26)28)21-24-25-22(30-21)23-19(27)14-29-18-6-4-3-5-7-18/h3-11,16H,2,12-14H2,1H3,(H,23,25,27)",JCP2022_087685
JCP2022_079058,0.7924289982148037,0.0876593216497825,0.1702212213006242,0.7966067891099156,181.3472222222222,RLBWZVQQEPQPGG-UHFFFAOYSA-N,"InChI=1S/C10H10N2O3S/c13-10-9(6-11-12-10)16(14,15)7-8-4-2-1-3-5-8/h1-6H,7H2,(H2,11,12,13)",JCP2022_079058
JCP2022_006858,0.7915046331452225,0.000640912701703,0.3501977507666474,0.5847619026778316,205.75,BKAPEDBSPGLJKH-UHFFFAOYSA-N,"InChI=1S/C20H20N4O6S/c1-28-15-5-4-6-16(29-2)19(15)20(25)23-13-7-9-14(10-8-13)31(26,27)24-17-11-18(30-3)22-12-21-17/h4-12H,1-3H3,(H,23,25)(H,21,22,24)",JCP2022_006858
JCP2022_010459,-1.204865776707634,0.0012378348810686,0.1116108835137541,0.9029444503206876,159.6666666666667,CDSHVDMZZSRBGV-UHFFFAOYSA-N,"InChI=1S/C20H17NO3S/c1-2-24-20(23)17-18(22)16(13-14-9-5-3-6-10-14)25-19(17)21-15-11-7-4-8-12-15/h3-13,17H,2H2,1H3",JCP2022_010459
JCP2022_108303,-1.129722737356838,2.375877272697835e-14,0.1240670428190844,0.8772347916955645,163.3888888888889,YGNPRZCOWVVYFD-UHFFFAOYSA-N,"InChI=1S/C17H20N2/c18-16-17(14-3-1-2-4-15(14)19-16)12-6-10-5-11(8-12)9-13(17)7-10/h1-4,10-13H,5-9H2,(H2,18,19)",JCP2022_108303
JCP2022_057626,-1.127323771251741,6.391109863557176e-12,0.0612436539503531,1.038948610445195,149.4305555555555,MZVZHDUUHPBUDG-UHFFFAOYSA-N,"InChI=1S/C25H19Cl2N3O2S/c26-16-5-3-14(4-6-16)21-20-12-33-13-30(20)25(22(21)23(31)15-2-1-9-28-11-15)18-10-17(27)7-8-19(18)29-24(25)32/h1-11,20-22H,12-13H2,(H,29,32)",JCP2022_057626
JCP2022_017938,-1.103513553993916,8.720766264680435e-8,0.0615136609577253,1.038005322775174,208.9814814814815,DSOIASIEFDJDKO-UHFFFAOYSA-N,"InChI=1S/C17H20N6O3/c24-16(20-14-3-1-4-15(13-14)23(25)26)5-8-21-9-11-22(12-10-21)17-18-6-2-7-19-17/h1-4,6-7,13H,5,8-12H2,(H,20,24)",JCP2022_017938
JCP2022_055477,-1.098821231115495,0.0003426636817553,0.1514354236674115,0.8271206612884173,210.7083333333333,MOLHXRXDKWFUFF-UHFFFAOYSA-N,"InChI=1S/C22H16F4N2O4/c1-31-18-8-4-5-9-19(18)32-17-11-10-13(22(24,25)26)12-16(17)27-21(30)28-20(29)14-6-2-3-7-15(14)23/h2-12H,1H3,(H2,27,28,29,30)",JCP2022_055477
JCP2022_027404,-1.093459071727964,1.881822475624517e-9,0.1617231636975686,0.8100775893725037,176.8194444444445,GSBLLGRDVKHVMU-UHFFFAOYSA-N,"InChI=1S/C21H29N3O3S/c1-22(2)13-14-27-21-8-6-5-7-18(21)16-24-12-11-17-15-19(9-10-20(17)24)28(25,26)23(3)4/h5-10,15H,11-14,16H2,1-4H3",JCP2022_027404
JCP2022_081397,-1.066125825642701,0.00004882731631727921,0.1152078964996372,0.5179812060913435,163.4,RXRUEKGTMXUFRY-UHFFFAOYSA-N,"InChI=1S/C25H24N2O3/c1-17-8-7-9-18(2)23(17)26-24(29)25(19-10-5-4-6-11-19)16-22(28)27(25)20-12-14-21(30-3)15-13-20/h4-15H,16H2,1-3H3,(H,26,29)",JCP2022_081397
JCP2022_099960,-1.05222691753679,0.00004187483973794315,0.0801055061230437,0.9800111159929054,180.5972222222222,WNQWEEZHLLRAAD-UHFFFAOYSA-N,"InChI=1S/C26H17F2N3O/c27-18-5-1-16(2-6-18)25-26(17-3-7-19(28)8-4-17)31-24-15-22(13-14-23(24)30-25)32-21-11-9-20(29)10-12-21/h1-15H,29H2",JCP2022_099960
JCP2022_012484,-1.044872578428348,0.0060724037361006,0.0635990182943089,0.6016760374911055,177.537037037037,COMXGGJSOOCPIB-UHFFFAOYSA-N,"InChI=1S/C22H16N4S/c1-3-9-16(10-4-1)21-22(17-11-5-2-6-12-17)27-20(23-21)15-26-19-14-8-7-13-18(19)24-25-26/h1-14H,15H2",JCP2022_012484
JCP2022_093296,-1.039139945053009,0.0001038613901194,0.1917026693388899,0.7646646213533776,141.9722222222222,VDQZUUNCNZNELZ-UHFFFAOYSA-N,"InChI=1S/C20H18N2O2/c1-13-19(20(21)16-5-3-4-6-17(16)22-13)18(23)12-9-14-7-10-15(24-2)11-8-14/h3-12H,1-2H3,(H2,21,22)",JCP2022_093296
JCP2022_102653,-1.030197669841075,0.0001625713895248,0.0825394860513057,0.973259545167944,172.3194444444445,XBTFUJSCSCUYHW-UHFFFAOYSA-N,"InChI=1S/C24H19Cl2F3N4/c1-32-7-9-33(10-8-32)23-20(14-30)19(18-6-5-17(25)12-21(18)26)13-22(31-23)15-3-2-4-16(11-15)24(27,28)29/h2-6,11-13H,7-10H2,1H3",JCP2022_102653
JCP2022_043594,-1.027084753575559,0.0,0.1856257663413421,0.4070396248163192,159.2,KBVHUIAVMUIUGW-UHFFFAOYSA-N,"InChI=1S/C15H16ClNO3S2/c1-20-14-3-2-13(16)8-15(14)22(18,19)17-6-4-11(9-17)12-5-7-21-10-12/h2-3,5,7-8,10-11H,4,6,9H2,1H3",JCP2022_043594
JCP2022_038943,-1.018294437315049,7.640617771809133e-7,0.1761793673606311,0.7874600663113512,175.4666666666667,JCWGECDJKMQLFS-UHFFFAOYSA-N,"InChI=1S/C22H24N6O/c1-5-28-14-19(15(2)25-28)21-12-18(17-8-6-7-9-20(17)24-21)22(29)26(3)13-16-10-11-23-27(16)4/h6-12,14H,5,13H2,1-4H3",JCP2022_038943
JCP2022_030517,-1.01422694733089,5.768091648761242e-7,0.1485549769890268,0.8320498387208024,165.0222222222222,HIZNBUSYMGUPSO-UHFFFAOYSA-N,"InChI=1S/C23H30N2O2S/c1-17-12-13-28-20(17)15-24(14-18-8-6-5-7-9-18)21(26)16-25(19-10-11-19)22(27)23(2,3)4/h5-9,12-13,19H,10-11,14-16H2,1-4H3",JCP2022_030517
JCP2022_033190,-1.00939834204987,9.47439817089446e-6,0.0742739291329241,0.789083677453304,173.9166666666667,HXDOMTLESRCAPK-UHFFFAOYSA-N,"InChI=1S/C20H22N2O2S/c23-19(16-9-4-3-5-10-16)21-18(15-17-11-8-14-25-17)20(24)22-12-6-1-2-7-13-22/h3-5,8-11,14H,1-2,6-7,12-13,15H2",JCP2022_033190
JCP2022_013875,-0.9864765921175992,0.00333197068681,0.054357933440428,1.064256881519159,170.3611111111111,CWJQUTMIOWYFJB-UHFFFAOYSA-N,"InChI=1S/C15H11F2N3O3S2/c1-20-14(21)5-4-12(18-20)9-6-15(24-8-9)25(22,23)19-13-7-10(16)2-3-11(13)17/h2-8,19H,1H3",JCP2022_013875
JCP2022_006403,-0.9626823257125676,2.486899575160351e-13,0.3280855916230945,0.6799193177120869,144.8666666666666,BHNOWWRIDWGQSR-UHFFFAOYSA-N,"InChI=1S/C19H22FN3O2/c1-14-4-2-5-15(10-14)7-8-18(24)23-9-3-6-17(13-23)25-19-21-11-16(20)12-22-19/h2,4-5,10-12,17H,3,6-9,13H2,1H3",JCP2022_006403
JCP2022_006536,-0.9495339986303454,0.0036475507569868,0.149211362727329,0.830920223078144,158.2708333333333,BIFHLBLLDLRLDB-UHFFFAOYSA-N,"InChI=1S/C20H18N4O3S/c1-3-24-15-10-14(4-5-16(15)27-11-17(24)25)18-12(2)28-20(22-18)23-19(26)13-6-8-21-9-7-13/h4-10H,3,11H2,1-2H3,(H,22,23,26)",JCP2022_006536
JCP2022_034379,-0.9421762130520036,8.503198145604074e-12,0.0849946669554733,0.9666107445100932,163.875,IDPITHQEFFLTPA-UHFFFAOYSA-N,"InChI=1S/C19H21N3O2/c1-21-10-9-13-7-8-14(11-17(13)21)19(23)22(2)12-16-15-5-3-4-6-18(15)24-20-16/h7-11H,3-6,12H2,1-2H3",JCP2022_034379
JCP2022_009635,-0.9315657735446672,3.042481666604147e-8,0.2134179034385568,0.7349498752654914,182.3125,BZFFWKJQGMWAQC-UHFFFAOYSA-N,"InChI=1S/C23H21N5O3/c1-30-18-11-7-16(8-12-18)15-24-23(29)21-22(27-28-26-21)25-17-9-13-20(14-10-17)31-19-5-3-2-4-6-19/h2-14H,15H2,1H3,(H,24,29)(H2,25,26,27,28)",JCP2022_009635
